Position	Name + ID	Name	ID	Roster Position	Salary	Game Info	TeamAbbrev	AvgPointsPerGame
SP	Jacob Misiorowski (43505179)	Jacob Misiorowski	43505179	P	12500	MIL@STL 07/08/2026 07:45PM ET	MIL	29.64
SP	Tyler Glasnow (43505180)	Tyler Glasnow	43505180	P	11000	COL@LAD 07/08/2026 10:10PM ET	LAD	22.21
SP	Yoshinobu Yamamoto (43505181)	Yoshinobu Yamamoto	43505181	P	11000	COL@LAD 07/08/2026 10:10PM ET	LAD	22.28
SP	Chase Burns (43504787)	Chase Burns	43504787	P	10500	PHI@CIN 07/08/2026 07:10PM ET	CIN	22.16
SP	Cristopher Sanchez (43505182)	Cristopher Sanchez	43505182	P	10500	PHI@CIN 07/08/2026 07:10PM ET	PHI	22.87
SP	Zack Wheeler (43505183)	Zack Wheeler	43505183	P	10500	PHI@CIN 07/08/2026 07:10PM ET	PHI	23.94
SP	Garrett Crochet (43505184)	Garrett Crochet	43505184	P	10200	BOS@CWS 07/08/2026 07:40PM ET	BOS	13.78
SP	Joe Ryan (43505185)	Joe Ryan	43505185	P	9900	CLE@MIN 07/08/2026 07:40PM ET	MIN	18.76
SP	Kyle Harrison (43504788)	Kyle Harrison	43504788	P	9500	MIL@STL 07/08/2026 07:45PM ET	MIL	19.08
SP	Logan Henderson (43505186)	Logan Henderson	43505186	P	9500	MIL@STL 07/08/2026 07:45PM ET	MIL	18.27
SP	Nathan Eovaldi (43505187)	Nathan Eovaldi	43505187	P	9300	LAA@TEX 07/08/2026 08:05PM ET	TEX	18.92
SP	Jacob deGrom (43505188)	Jacob deGrom	43505188	P	9300	LAA@TEX 07/08/2026 08:05PM ET	TEX	19.96
SP	Nolan McLean (43505189)	Nolan McLean	43505189	P	9200	KC@NYM 07/08/2026 07:10PM ET	NYM	18.28
SP	Blake Snell (43505190)	Blake Snell	43505190	P	9000	COL@LAD 07/08/2026 10:10PM ET	LAD	3.95
SP	Justin Wrobleski (43505191)	Justin Wrobleski	43505191	P	9000	COL@LAD 07/08/2026 10:10PM ET	LAD	18.05
SP	Corbin Burnes (43505192)	Corbin Burnes	43505192	P	9000	ARI@SD 07/08/2026 10:10PM ET	ARI	0
SP	Taj Bradley (43505194)	Taj Bradley	43505194	P	8900	CLE@MIN 07/08/2026 07:40PM ET	MIN	18.93
SP	Pablo Lopez (43505195)	Pablo Lopez	43505195	P	8900	CLE@MIN 07/08/2026 07:40PM ET	MIN	0
SP	Mick Abel (43505196)	Mick Abel	43505196	P	8900	CLE@MIN 07/08/2026 07:40PM ET	MIN	14.19
SP	Nick Pivetta (43505193)	Nick Pivetta	43505193	P	8900	ARI@SD 07/08/2026 10:10PM ET	SD	15.3
SP	Ranger Suarez (43505197)	Ranger Suarez	43505197	P	8700	BOS@CWS 07/08/2026 07:40PM ET	BOS	16.86
SP	Sonny Gray (43505198)	Sonny Gray	43505198	P	8700	BOS@CWS 07/08/2026 07:40PM ET	BOS	18.28
SP	Payton Tolle (43505199)	Payton Tolle	43505199	P	8700	BOS@CWS 07/08/2026 07:40PM ET	BOS	17.67
SP	Connelly Early (43505202)	Connelly Early	43505202	P	8700	BOS@CWS 07/08/2026 07:40PM ET	BOS	16.23
SP	Parker Messick (43505200)	Parker Messick	43505200	P	8700	CLE@MIN 07/08/2026 07:40PM ET	CLE	19.38
SP	Gavin Williams (43505201)	Gavin Williams	43505201	P	8700	CLE@MIN 07/08/2026 07:40PM ET	CLE	19.61
SP	Jesus Luzardo (43505203)	Jesus Luzardo	43505203	P	8500	PHI@CIN 07/08/2026 07:10PM ET	PHI	18.91
SP	Hunter Greene (43505204)	Hunter Greene	43505204	P	8500	PHI@CIN 07/08/2026 07:10PM ET	CIN	-1.1
SP	Davis Martin (43504789)	Davis Martin	43504789	P	8500	BOS@CWS 07/08/2026 07:40PM ET	CWS	17.16
SP	Brandon Woodruff (43505205)	Brandon Woodruff	43505205	P	8500	MIL@STL 07/08/2026 07:45PM ET	MIL	16.73
SP	MacKenzie Gore (43504790)	MacKenzie Gore	43504790	P	8300	LAA@TEX 07/08/2026 08:05PM ET	TEX	15.42
